name,roi,date_event,time_event,team_home,team_away,odds,bet,forecast,like,dislike,date_publish
"Grand Father",-24.92%,"15 июл",16:30,"Торпедо Москва","Динамо Махачкала",2.04,"ПОБЕДА 1","Торпедо настроено вернуться в рпл, скупают всех на большие деньги, почти как рубин",0,0,"Сегодня в 08:16"
"Stepan Снигирёв",-19.71%,"15 июл",16:30,"Торпедо Москва","Динамо Махачкала",2.04,"ПОБЕДА 1","Торпедо вылетел из рпл и теперь вновь будет пытаться туда попасть , думаю они одни из фаворитов первой лиги в этом сезоне и динамо из Махачкалы сильную угрозу им не представляют . Да и кэф сочный на торпедо.",0,0,"Сегодня в 01:41"
"Oili Makarainen",-1.96%,"15 июл",16:30,"Торпедо Москва","Динамо Махачкала",1.73,"ДВОЙНОЙ ШАНС X2","Динамо Махачкала - 35% матчей (12/34) не проиграла как минимум",0,0,"Сегодня в 06:21"
"A.R. Zarik",-3.92%,"15 июл",16:30,"Торпедо Москва","Динамо Махачкала",1.68,"ТОТАЛ БОЛЬШЕ (2)","С возвращением ФНЛ! Судя по товарнякам, которые видел, хозяева стараются играть сами и дают играть другим. Гости тоже оставляют впечатление веселой команды.",0,0,"Сегодня в 11:44"
"Soul Doubt",+47.50%,"15 июл",16:30,"Торпедо Москва","Динамо Махачкала",2.08,"ТОТАЛ МЕНЬШЕ (2)","У Динамо пополнение в административном и тренерском штабе. Результат прийдет не сразу, но на первых порах, очевидно, акцент будет идти на оборону.",0,0,"Сегодня в 13:43"
"Алексей Сергеевич",-14.39%,"15 июл",16:30,"Торпедо Москва","Динамо Махачкала",3.28,"НИЧЬЯ","Ээх, первый тур.. 
Исходу из Динамо, вязкий футбол без авторитетов..",0,0,"Сегодня в 14:18"
