name,roi,date_event,time_event,team_home,team_away,rate,header,forecast,like,dislike,date_publish
"BetOne BaseBall",-1.04%,"12 июл",10:00,"Ульсан","Инчхон",,"ПОБЕДА 1","Ульсан лидер чемпионата с большим отрывом и  играет дома против середняка.",0,0,"Сегодня в 10:31"
"BetOne BaseBall",-1.04%,"12 июл",10:30,"Сувон Блюуингз","Пхохан",,"ПОБЕДА 2","Пхохан вторая команда чемпионата в гостях против аутсайдера, берём чистую победу.",0,0,"Сегодня в 10:33"
"BetOne BaseBall",-1.04%,"12 июл",10:30,"Сеул","Сувон",,"ФОРА 1 (-1)","Сеул борется за место в плей-офф и принимает 10-ую команда из 13-ти.",0,0,"Сегодня в 10:34"
"BetOne BaseBall",-1.04%,"12 июл",10:30,"Тэджон","Чонбук",,"ФОРА 2 (0)","Чонбук в этом сезоне утратил лидерские позиции, но по составу выглядят прилично и фора 0 на выезде вполне играбельный вариант.",0,0,"Сегодня в 10:34"
"Андрей Пакшин",-21.42%,"12 июл",13:00,"Ауд-Хеверле","Васланд-Беверен",,"ТОТАЛ БОЛЬШЕ (3)","Не уверен, что в товарняках целесообразно тратить время на описание. Матчей много и принцип отбора простой - потенциально верховые матчи.

Основные маркеры на которые обращаю внимание при выборе ставки:

- Более-менее голевые чемпионаты. В приоритете - Чехия, Австрия (пердив и ниже желательно), Бельгия, Швейцария, Германия и т.д.

- Верховые товарищеские матчи прошлого и позапрошлого сезонов. Акцент на летний период. Ну и многих команд уже были недавние товарищеские матчи - на них тоже, разумеется, смотрим

- Желательно, чтобы были личные встречи. Тут даже скорее личные товарищеские матчи. Особенно здорово, если команды из разных чемпионатов регулярно играли между собой в рамках товарняков. Часто такие встречи были верховые.

Вот, три слона на которых будут держаться последующие прогнозы на ТБ голов товарищеских матчей. Все эти простые детали проверил.",0,0,"Сегодня в 12:58"
"Борис Бачинский",+4.58%,"12 июл",14:00,"Астана","Динамо Тбилиси",,"ТОТАЛ МЕНЬШЕ (0.5)","Тут хочу проверить низ прям нули. 
Астана уже давно не те… ну и соперник Автобусный. Проверю",1,2,"Вчера в 18:20"
"Super Fly",+1.10%,"12 июл",14:00,"Астана","Динамо Тбилиси",,"1Х И ТМ(3.5) - ДА","Считаю, что Астана является вполне очевидным фаворитом этого поединка. Команда находится в неплохой форме: проиграли в прошлой встрече в кубке Ордабасы, но до этого не знали поражений в 15-и матчах к ряду. 

Динамо на днях завоевали Суперкубок Грузии, но сделали это не слишком уверенно - две встречи выиграли по пенальти. Команда сейчас на спаде, занимает в регулярном чемпионате лишь четвертую строчки, а результаты очень нестабильны. Тяжело от них ждать успеха в первой встрече против Астаны. Все-таки соперник выглядит более предпочтительнее на данный момент, да и матч играется в Казахстане.

Не жду много голов, поединок очень важный. В первый игровой день такой тотал сыграл в 9 матчах из 10. БК Зенит.",0,0,"Сегодня в 00:28"
"Андрей Пакшин",-21.42%,"12 июл",14:00,"Саутгемптон","Бенфика",,"ТОТАЛ БОЛЬШЕ (3)","Не уверен, что в товарняках целесообразно тратить время на описание. Матчей много и принцип отбора простой - потенциально верховые матчи.

Основные маркеры на которые обращаю внимание при выборе ставки:

- Более-менее голевые чемпионаты. В приоритете - Чехия, Австрия (пердив и ниже желательно), Бельгия, Швейцария, Германия и т.д.

- Верховые товарищеские матчи прошлого и позапрошлого сезонов. Акцент на летний период. Ну и многих команд уже были недавние товарищеские матчи - на них тоже, разумеется, смотрим

- Желательно, чтобы были личные встречи. Тут даже скорее личные товарищеские матчи. Особенно здорово, если команды из разных чемпионатов регулярно играли между собой в рамках товарняков. Часто такие встречи были верховые.

Вот, три слона на которых будут держаться последующие прогнозы на ТБ голов товарищеских матчей. Все эти простые детали проверил.",0,0,"Сегодня в 12:58"
"Андрей Пакшин",-21.42%,"12 июл",16:00,"Хоффенхайм","Эльверсберг",,"ТОТАЛ БОЛЬШЕ (3.5)","Не уверен, что в товарняках целесообразно тратить время на описание. Матчей много и принцип отбора простой - потенциально верховые матчи.

Основные маркеры на которые обращаю внимание при выборе ставки:

- Более-менее голевые чемпионаты. В приоритете - Чехия, Австрия (пердив и ниже желательно), Бельгия, Швейцария, Германия и т.д.

- Верховые товарищеские матчи прошлого и позапрошлого сезонов. Акцент на летний период. Ну и многих команд уже были недавние товарищеские матчи - на них тоже, разумеется, смотрим

- Желательно, чтобы были личные встречи. Тут даже скорее личные товарищеские матчи. Особенно здорово, если команды из разных чемпионатов регулярно играли между собой в рамках товарняков. Часто такие встречи были верховые.

Вот, три слона на которых будут держаться последующие прогнозы на ТБ голов товарищеских матчей. Все эти простые детали проверил.",0,0,"Сегодня в 12:58"
"Бук Беги",-11.44%,"12 июл",19:15,"Валюр Рейкьявик","Филькир Рейкьявик",,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 МЕНЬШЕ (2.5)","Это тот самый тотал, выставленный из личек? Очень много. 1.5 на такое всегда дают",0,0,"Сегодня в 10:36"
"Дарья Миронова",-0.71%,"12 июл",23:30,"США","Панама",,"ТОТАЛ БОЛЬШЕ (2)","Частично мой предыдущий прогноз на матч с участием сборной США сбылся: американцы выиграли, но встреча была сложной. Действующий чемпион не смог одолеть канадцев в основное время и впервые на этом турнире отставал по счету целых пять минут. Героем пенальти стал голкипер Мэтт Тернер, сделавший два сейва. 

Сборная США прошла в полуфинал 11 раз подряд. Американцы в хорошей форме, уже забили 15 голов. Панама не выходила в финал Золотого Кубка с 2013 года. 

В четвертьфинале Диаз оформил хет-трик в ворота Катара за 9 минут. Но вряд ли победа Панамы 4-0 напугает соперника по полуфиналу. Как ни крути, у сборной США есть глубина состава, хотя команда не играет в полную силу. США - фаворит, но придется трудиться и сохранять хладнокровие. Не рассчитываю на то, что Панама сможет забить больше одного мяча. 

В 25 очных встречах этих сборных американцы одерживали победы 18 раз, также были 4 ничьи. В последних четырех играх тоталы были больше 2,5. В марте 2022 американцы выиграли со счетом 5-1. 

На этот раз выберу ТБ 2.",0,0,"Сегодня в 09:03"
"Дарья Миронова",-0.71%,"12 июл",23:30,"Нью-Йорк Ред Буллз","Цинциннати",,"ТОТАЛ БОЛЬШЕ (2)","Лидер Востока и лиги по очкам, 45, ФК ""Цинциннати"" встречается с командой, которая еще надеется на место в плей-офф, но пока проваливает регулярку. 

В прошлом сезоне ""Нью Йорк"" подошёл к плей-офф на четвертом месте. Тяжелый старт нынешнего сезона обусловлен сменой менеджмента. В 11 первых играх ""Буллс"" одержали лишь одну победу, но успели набрать 9 очков. Очередная смена тренера дала позитивное движение. В последних трех играх ""Нью Йорк"" записал на свой счет две победы. 

У ""Ред Буллс"" есть хорошие шансы зацепиться дома. С одной стороны, ""Цинциннати"" проиграл лишь два мачта из 21 в этом сезоне. С другой - ключевой защитник Мэтт Мязга все еще отсутствует из-за выступлений за сборную США, а заменяющий его Иан Мёрфи получил дисквалификацию. Также в распоряжении сборной Вазкес. Несмотря на хороший разгон, на данный момент гости не в оптимальном составе, что дает хозяевам хороший шанс. 

В последних пяти домашних матчах ""Нью Йорк"" одержал две победы, заработал одну ничью. Последние пять игр на выезде у ""Цинциннати"" две ничьи, две победы. Но вопрос результативности в этой игре стоит ребром. В стане ""Нью Йорка"" самый забивающий - Амайя с 4 голами, у ""Синси"" - Акоста с 11-ью. 

В посл...",0,0,"Сегодня в 09:05"
